"searchtext", "expectedresult"
"St Pauls Cathederal","ST PAUL'S CATHEDRAL"
"The Serpantine, Hyde Park","SERPENTINE ROAD"
"haywarket","HAYMARKET, LONDON"
"2 cabnel place kennington","2 CABANEL PLACE LONDON"
"Trinity Acadamy Brixton","TRINITY ACADEMY 54-56 BRIXTON HILL"
"Storys Gate, Westminster","STOREYS GATE LONDON"
"Seymore House, HA6 1BQ","SEYMOUR HOUSE RESIDENTIAL CARE HOME"
"Raynards, Mullberry House, SE13","RANYARD MULBERRY HOUSE"
"26A Downside Cresent","26A DOWNSIDE CRESCENT"
"Lea High Road, SE13","LEE HIGH ROAD LONDON SE13"
"Every Road Foots Cray","EVRY ROAD SIDCUP DA14"
"Kenington lane","KENNINGTON LANE LONDON SE11"
